LONGITUD;NANOMETROS;MICRONES;MILIMETROS;CENTIMETROS;METROS;KILOMETROS;PULGADAS;PIES;YARDAS;MILLAS;MILLAS_NAUTICAS
NANOMETROS;1;0,001;0,000001;0,0000001;0,000000001;0,000000000001;0,000000039370079;0,00000000328084;0,000000001093613;0,000000000000621;0,00000000000054
MICRONES;1000;1;0,001;0,0001;0,000001;0,000000001;0,000039;0,000003;0,000001;0,000000000621371;0,000000000539957
MILIMETROS;1000000;1000;1;0,1;0,001;0,000001;0,03937;0,003281;0,001094;0,000000621371192;0,000000539956803
CENTIMETROS;10000000;10000;10;1;0,01;0,00001;0,393701;0,032808;0,010936;0,000006;0,000005
METROS;1000000000;1000000;1000;100;1;0,001;39,37008;3,28084;1,093613;0,000621;0,00054
KILOMETROS;1000000000000;1000000000;1000000;100000;1000;1;39370,08;3280,84;1093,613;0,621371;0,539957
PULGADAS;25400000;25400;25,4;2,54;0,0254;0,000025;1;0,083333;0,027778;0,000016;0,000014
PIES;304800000;304800;304,8;30,48;0,3048;0,000305;12;1;0,333333;0,000189;0,000165
YARDAS;914400000;914400;914,4;94,44;0,9144;0,000914;36;3;1;0,000568;0,000494
MILLAS;1609344000000;1609344000;1609344;160934,4;1609,344;1,609344;63360;5280;1760;1;0,868976
MILLAS NAUTICAS;1852000000000;1852000000;1852000;185200;1852;1,852;72913,39;6076,115;2025,372;1,150779;1
